,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,Storslett,69.7678,21.0247,28.4,86,100,10.36,NO,1651211489
286,Bagdarin,54.4333,113.6,40.33,37,55,8.57,RU,1651211489
287,Sokoto,13.0609,5.239,82.89,28,96,7.43,NG,1651211490
288,Walvis Bay,-22.9575,14.5053,63.55,59,0,5.75,NA,1651211490
289,Chokurdakh,70.6333,147.9167,10.87,90,41,3.49,RU,1651211491
290,Khatanga,71.9667,102.5,21.96,83,93,8.88,RU,1651211492
291,Ayorou,14.7308,0.9174,83.16,9,71,6.29,NE,1651211492
292,Severnoye,56.3491,78.3619,71.67,33,100,18.52,RU,1651211493
293,Jalu,29.0331,21.5482,77.02,18,0,20.94,LY,1651211494
294,Lompoc,34.6391,-120.4579,50.56,80,0,28.01,US,1651211495
295,Eureka,40.8021,-124.1637,47.93,84,8,4.76,US,1651211495
296,Ilulissat,69.2167,-51.1,23.68,97,100,2.46,GL,1651211496
297,Luba,3.4568,8.5547,76.89,74,70,2.75,GQ,1651211497
298,Nome,64.5011,-165.4064,36.16,93,100,5.75,US,1651211498
299,Rawson,-43.3002,-65.1023,42.89,43,0,9.15,AR,1651211498
301,Shache,38.4167,77.2406,71.46,20,64,7.18,CN,1651211500
302,Paamiut,61.994,-49.6678,36.03,95,100,15.82,GL,1651211500
303,Buraidah,26.326,43.975,70.25,41,49,7.4,SA,1651211501
304,Chuguyevka,44.1653,133.8633,56.5,18,27,5.79,RU,1651211501
305,La Palma,33.8464,-118.0467,60.82,75,0,4.61,US,1651211502
306,Longyearbyen,78.2186,15.6401,8.44,61,20,20.71,SJ,1651211503
307,Quatre Cocos,-20.2078,57.7625,81.09,69,19,11.72,MU,1651211504
309,Upata,8.0086,-62.3989,74.19,94,56,5.5,VE,1651211505
310,Boralday,43.3578,76.8594,69.66,35,40,17.9,KZ,1651211506
311,Santa,17.486,120.4348,91.69,56,90,11.7,PH,1651211506
312,Katsuura,35.1333,140.3,60.82,97,100,14.74,JP,1651211507
313,Lubao,14.9167,120.55,95.07,44,97,12.37,PH,1651211507
314,Aklavik,68.2191,-135.0107,16.12,93,91,7.94,CA,1651211508
315,Iqaluit,63.7506,-68.5145,4.73,85,40,2.3,CA,1651211509
316,Les Cayes,18.2,-73.75,74.01,85,73,4.14,HT,1651211509
317,Zharkent,44.1628,80.0,72.82,13,0,15.88,KZ,1651211510
318,Dikson,73.5069,80.5464,14.38,90,74,16.84,RU,1651211511
319,Ixtapa,20.7,-105.2,75.22,74,5,3.06,MX,1651211511
320,Pisco,-13.7,-76.2167,64.45,82,0,5.75,PE,1651211512
321,Beidao,34.5686,105.8933,51.1,78,100,3.8,CN,1651211512
322,Ihosy,-22.4,46.1167,63.63,70,41,15.23,MG,1651211513
323,Nouakchott,18.0858,-15.9785,66.13,68,0,11.12,MR,1651211514
324,Maceió,-9.6658,-35.7353,74.64,88,40,4.61,BR,1651211245
325,Helong,42.5397,128.9972,61.57,21,31,10.09,CN,1651211515
326,Isiro,2.7739,27.616,69.19,92,100,2.93,CD,1651211515
327,Dauphin,51.1494,-100.0502,33.94,93,0,2.3,CA,1651211516
328,Grand Gaube,-20.0064,57.6608,81.37,67,6,10.0,MU,1651211517
329,Esperance,-33.8667,121.9,64.24,51,65,13.6,AU,1651211517
330,Contai,21.7786,87.7536,90.12,63,11,15.95,IN,1651211518
331,Codrington,-38.2667,141.9667,64.78,71,100,13.15,AU,1651211519
332,College,64.8569,-147.8028,51.78,36,75,3.44,US,1651211519
333,Tiarei,-17.5333,-149.3333,78.82,74,8,22.37,PF,1651211520
334,Makakilo City,21.3469,-158.0858,75.56,68,0,14.97,US,1651211520
335,Tezu,27.9167,96.1667,96.08,28,8,4.32,IN,1651211521
336,Cherskiy,68.75,161.3,20.88,92,97,11.77,RU,1651211522
337,Pevek,69.7008,170.3133,29.53,93,100,11.12,RU,1651211522
338,Awjilah,29.1081,21.2869,75.45,23,0,20.76,LY,1651211523
339,Port Macquarie,-31.4333,152.9167,74.89,75,46,12.39,AU,1651211266
340,Oddur,4.1213,43.8894,82.81,56,62,8.19,SO,1651211524
341,Monrovia,6.3005,-10.7969,76.1,89,100,3.85,LR,1651211525
342,Broken Hill,-31.95,141.4333,71.31,78,40,10.36,AU,1651211250
343,Lorengau,-2.0226,147.2712,84.43,72,55,3.38,PG,1651211526
344,Kayerkan,69.3497,87.7602,17.53,92,100,8.52,RU,1651211526
345,Barbacoas,1.6715,-78.1398,74.79,97,100,1.1,CO,1651211527
346,Iskateley,67.6803,53.1512,25.97,90,92,14.14,RU,1651211527
347,Kampot,10.6167,104.1833,86.05,69,100,7.65,KH,1651211528
348,Soma,39.1855,27.6094,58.42,71,41,10.25,TR,1651211529
349,Goderich,43.7501,-81.7165,32.32,59,32,5.75,CA,1651211529
350,Tarauacá,-8.1614,-70.7656,72.12,98,92,0.83,BR,1651211530
351,Craig,40.5153,-107.5464,49.62,43,20,9.22,US,1651211325
352,Leer,8.3018,30.1418,84.31,54,98,6.02,SS,1651211531
353,Abu Dhabi,24.4667,54.3667,93.31,35,0,6.91,AE,1651211386
354,Sitka,57.0531,-135.33,46.29,71,40,8.05,US,1651211532
355,Kosterevo,55.9299,39.6144,38.64,77,95,2.48,RU,1651211533
356,Hasaki,35.7333,140.8333,55.8,93,100,19.42,JP,1651211534
357,Gua Musang,4.8823,101.9644,97.75,41,59,1.86,MY,1651211534
358,Arrondissement de Morlaix,48.5833,-4.0,50.07,97,75,3.44,FR,1651211535
359,Mumford,5.2618,-0.759,79.32,79,95,3.51,GH,1651211535
360,Lakefield,43.6775,-95.1717,51.51,84,100,25.32,US,1651211536
361,Charlottetown,46.2352,-63.1267,41.56,93,100,8.05,CA,1651211390
362,Mtwara,-10.2667,40.1833,75.67,72,73,15.37,TZ,1651211537
363,Mackay,-21.15,149.2,81.68,73,42,21.85,AU,1651211248
364,Sirte,31.2089,16.5887,64.65,79,0,13.6,LY,1651211538
365,Lima,-12.0432,-77.0282,66.9,81,0,6.91,PE,1651211539
366,Lac du Bonnet,50.2536,-96.0612,36.82,89,62,4.74,CA,1651211539
367,Kavieng,-2.5744,150.7967,84.24,72,32,5.99,PG,1651211540
369,Nantucket,41.2835,-70.0995,48.31,40,0,18.41,US,1651211246
370,Faya,18.3851,42.4509,61.32,49,26,9.15,SA,1651211542
371,Gainesville,29.6516,-82.3248,63.75,84,0,4.61,US,1651211542
372,Ilula,-7.6766,36.0366,63.68,83,89,6.42,TZ,1651211543
373,Domoni,-12.2569,44.5319,80.04,80,95,10.63,KM,1651211544
374,Msanga,-6.05,36.0333,69.3,75,66,6.2,TZ,1651211545
375,Koungou,-12.7336,45.2042,85.71,70,20,14.97,YT,1651211546
376,Chākia,26.4167,85.05,102.33,21,0,7.25,IN,1651211546
377,Pacific Grove,36.6177,-121.9166,52.43,84,0,15.01,US,1651211471
378,Galesong,-5.3166,119.3661,89.62,68,49,3.87,ID,1651211547
379,Partizanskoye,55.5006,94.39,60.06,49,100,20.92,RU,1651211548
380,Olafsvik,64.8945,-23.7142,44.89,91,100,10.25,IS,1651211549
381,Mariveles,14.4833,120.4833,89.56,55,95,12.62,PH,1651211549
382,Kumul,42.8,93.45,66.54,14,79,4.36,CN,1651211550
383,Faanui,-16.4833,-151.75,82.13,71,7,21.94,PF,1651211550
384,Prome,18.8167,95.2167,105.89,25,1,5.37,MM,1651211551
385,Lázaro Cárdenas,17.9583,-102.2,76.12,79,1,1.9,MX,1651211552
386,Luang Prabang,19.8856,102.1347,85.96,66,75,0.0,LA,1651211553
387,Moyo,3.6609,31.7247,68.47,80,99,4.41,UG,1651211553
388,Berlevåg,70.8578,29.0864,30.15,59,75,24.16,NO,1651211554
389,La Cruz,23.9167,-106.9,71.49,58,12,3.87,MX,1651211555
390,Port Hawkesbury,45.6169,-61.3485,40.95,99,100,8.05,CA,1651211555
391,Leningradskiy,69.3833,178.4167,27.52,96,100,3.58,RU,1651211556
392,Qandala,11.472,49.8728,89.38,58,64,3.04,SO,1651211556
393,Luganville,-15.5333,167.1667,79.72,85,100,4.63,VU,1651211557
394,Cururupu,-1.8283,-44.8683,73.87,93,97,2.68,BR,1651211462
395,Dongsheng,39.8161,109.9776,58.6,28,100,20.24,CN,1651211558
396,Coroatá,-4.13,-44.1242,72.12,99,100,2.04,BR,1651211559
397,Baykit,61.67,96.37,44.19,98,100,6.62,RU,1651211559
398,Halifax,44.6453,-63.5724,39.49,95,100,5.75,CA,1651211285
399,Peterhead,57.5058,-1.7981,48.6,79,100,7.4,GB,1651211561
400,Raudeberg,61.9875,5.1352,39.87,91,100,0.74,NO,1651211562
401,Flinders,-34.5833,150.8552,81.68,70,53,9.48,AU,1651211562
402,Rabo de Peixe,37.8,-25.5833,64.27,89,75,16.11,PT,1651211563
403,Zhangye,38.9342,100.4517,49.84,35,100,6.96,CN,1651211564
404,Daman,20.4167,72.85,90.79,56,0,9.84,IN,1651211565
405,Kongolo,-5.3833,27.0,71.11,90,100,2.66,CD,1651211566
406,Madang,-5.2246,145.7966,83.44,78,100,5.86,PG,1651211566
407,Puerto Rondón,6.2805,-71.1,78.22,72,99,3.31,CO,1651211567
408,Alice Springs,-23.7,133.8833,94.55,16,1,5.75,AU,1651211400
409,Dipolo,7.7828,123.1158,87.31,72,59,4.25,PH,1651211568
410,Agirish,61.9247,63.0231,29.44,74,97,8.88,RU,1651211568
411,Massakory,12.996,15.7293,88.16,35,91,7.85,TD,1651211569
412,Basco,20.4487,121.9702,82.76,80,1,15.05,PH,1651211570
413,Kathu,7.9178,98.3332,91.22,81,52,12.12,TH,1651211570
414,Casas Grandes,30.3667,-107.95,61.45,21,0,5.12,MX,1651211571
415,Yoichi,43.2039,140.7703,46.81,48,100,7.49,JP,1651211572
416,Tura,25.5198,90.2201,89.02,55,2,5.03,IN,1651211477
417,Logan,41.7355,-111.8344,49.19,66,95,4.0,US,1651211573
418,Banda Aceh,5.5577,95.3222,86.7,70,91,11.25,ID,1651211573
419,Los Andes,-32.8337,-70.5983,61.09,23,1,3.65,CL,1651211574
420,Salta,-24.7859,-65.4117,55.99,85,75,6.91,AR,1651211574
421,Taoudenni,22.6783,-3.9836,77.02,13,0,7.61,ML,1651211575
422,Nebug,44.1714,39.0036,62.37,80,100,0.43,RU,1651211576
423,Aktash,50.3,87.7333,45.39,34,14,3.15,RU,1651211576
424,Samarinda,-0.5,117.15,91.62,51,96,4.16,ID,1651211577
425,Kashgar,39.4547,75.9797,65.41,32,20,4.47,CN,1651211578
426,Biak,-0.9131,122.8766,81.25,78,89,3.62,ID,1651211578
427,Tocache,-8.1842,-76.5125,70.05,98,100,0.18,PE,1651211579
428,Vardø,70.3705,31.1107,27.09,79,100,19.53,NO,1651211580
429,Lodja,-3.4833,23.4333,70.72,97,100,2.21,CD,1651211580
430,Xining,36.6167,101.7667,40.84,80,100,11.68,CN,1651211581
431,Mount Isa,-20.7333,139.5,91.17,35,75,10.36,AU,1651211581
432,Penzance,50.1186,-5.5371,50.02,84,68,6.6,GB,1651211582
433,Yulara,-25.2406,130.9889,78.64,34,100,12.66,AU,1651211583
434,Bodden Town,19.2833,-81.25,77.94,78,37,8.99,KY,1651211583
435,Saint-Augustin,51.226,-58.6502,33.69,98,100,13.06,CA,1651211584
436,Lagoa,39.05,-27.9833,62.06,84,100,13.8,PT,1651211585
437,Antalaha,-14.9003,50.2788,79.65,66,22,10.65,MG,1651211586
438,Manokwari,-0.8667,134.0833,82.9,74,78,4.81,ID,1651211472
439,Mareeba,-17.0,145.4333,81.45,71,63,6.82,AU,1651211586
440,Kirs,59.3388,52.2447,33.66,54,62,6.64,RU,1651211587
441,Hervey Bay,-25.2986,152.8535,78.03,72,31,7.0,AU,1651211417
442,Narón,43.5167,-8.1528,48.02,89,81,4.81,ES,1651211588
443,Calama,-22.4667,-68.9333,48.69,14,0,18.41,CL,1651211589
444,Lusambo,-4.9667,23.45,69.76,99,100,0.74,CD,1651211590
445,Dhidhdhoo,6.8833,73.1,85.1,70,90,2.68,MV,1651211590
446,Prieska,-29.6641,22.7474,63.48,64,1,12.44,ZA,1651211591
447,Sesquilé,5.0475,-73.8008,52.16,95,100,1.45,CO,1651211592
448,Pangnirtung,66.1451,-65.7125,16.02,95,100,4.56,CA,1651211592
449,Salalah,17.0151,54.0924,86.92,68,9,9.8,OM,1651211593
450,Aswān,24.0934,32.907,85.3,11,0,4.61,EG,1651211593
451,Ust-Kuyga,70.0167,135.6,22.42,79,64,9.1,RU,1651211594
452,Sørland,67.667,12.6934,33.66,61,100,15.01,NO,1651211595
453,Sioux Lookout,50.1001,-91.917,39.27,35,100,5.75,CA,1651211595
454,Lagoa Formosa,-18.7786,-46.4075,67.01,69,100,3.49,BR,1651211596
455,Fairbanks,64.8378,-147.7164,51.8,36,40,3.44,US,1651211491
456,Vila Franca do Campo,37.7167,-25.4333,65.19,90,100,21.83,PT,1651211597
457,Yangi Marg`ilon,40.4272,71.7189,79.52,25,81,4.61,UZ,1651211598
458,Kaputa,-8.4689,29.6619,67.75,87,89,6.15,ZM,1651211598
459,Forsytheganj,52.6333,29.7333,46.04,64,33,1.77,BY,1651211599
460,Bandarbeyla,9.4942,50.8122,86.02,66,42,5.44,SO,1651211599
461,Surin,14.8818,103.4936,86.38,43,100,4.54,TH,1651211600
462,Bambanglipuro,-7.95,110.2833,84.47,73,66,7.94,ID,1651211601
463,Şurmān,32.7567,12.5716,64.09,77,39,9.95,LY,1651211602
464,Fort Nelson,58.8053,-122.7002,35.19,93,100,6.91,CA,1651211602
465,Brae,60.3964,-1.353,44.37,79,90,7.72,GB,1651211603
466,Honiara,-9.4333,159.95,82.35,81,98,1.97,SB,1651211453
467,Lakatoro,-16.0999,167.4164,79.81,83,99,5.61,VU,1651211604
468,Adré,13.4667,22.2,86.79,29,83,3.27,TD,1651211605
469,Ulan-Ude,51.8261,107.6098,51.69,18,7,8.95,RU,1651211605
470,Palmer,42.1584,-72.3287,41.95,36,0,9.22,US,1651211606
471,Bhāyāvadar,21.85,70.25,101.19,15,0,12.62,IN,1651211606
472,San Policarpo,12.1791,125.5072,83.77,74,27,11.01,PH,1651211607
473,Beisfjord,68.3751,17.5988,31.05,90,100,6.02,NO,1651211608
474,Singarāyakonda,15.25,80.0333,96.13,41,36,9.93,IN,1651211609
475,Aksarka,66.5606,67.7975,23.54,73,26,7.9,RU,1651211609
476,Shimanovsk,52.0,127.7,45.97,28,100,9.57,RU,1651211610
477,Sur,22.5667,59.5289,95.56,36,46,7.36,OM,1651211611
478,Havelock,34.8791,-76.9013,58.95,83,0,4.61,US,1651211611
479,Maniitsoq,65.4167,-52.9,31.01,99,100,12.08,GL,1651211612
480,Opuwo,-18.0607,13.84,69.62,47,56,6.29,NA,1651211612
481,Sungai Raya,0.7,108.9,89.73,61,61,10.07,ID,1651211613
482,Bellavista,-7.0561,-76.5911,70.5,99,98,0.43,PE,1651211614
483,Zhangjiakou,40.81,114.8794,61.59,34,99,15.5,CN,1651211615
484,Owando,-0.4819,15.8999,71.85,94,78,0.78,CG,1651211615
485,Zheleznodorozhnyy,55.7503,38.0042,42.35,53,35,2.86,RU,1651211616
487,Narsaq,60.9167,-46.05,40.37,79,100,4.09,GL,1651211617
488,Marshalltown,42.0494,-92.908,54.37,95,100,11.88,US,1651211617
489,Viedma,-40.8135,-62.9967,41.63,47,22,8.9,AR,1651211428
490,Mossamedes,-15.1961,12.1522,74.08,65,3,5.06,AO,1651211618
491,Tailai,46.3833,123.4,59.25,21,100,12.39,CN,1651211619
492,Tigil',57.8,158.6667,42.12,58,28,11.63,RU,1651211620
493,Lac-Mégantic,45.5834,-70.8823,32.56,91,99,10.02,CA,1651211620
494,Sassandra,4.95,-6.0833,75.42,91,45,2.91,CI,1651211621
496,Tommot,58.9564,126.2925,38.34,47,87,3.02,RU,1651211623
497,Murlīganj,25.9,86.9833,101.39,28,0,8.95,IN,1651211420
498,Pimentel,-6.8367,-79.9342,65.84,88,93,14.0,PE,1651211623
499,Tripoli,32.8752,13.1875,63.68,80,30,7.14,LY,1651211624
500,Le Vauclin,14.5452,-60.8388,77.85,94,100,2.3,MQ,1651211625
501,Goundam,16.4145,-3.6708,76.05,9,20,4.61,ML,1651211625
502,Broome,42.2506,-75.833,35.02,63,0,1.99,US,1651211626
503,Zemio,5.0314,25.1361,71.2,89,99,2.82,CF,1651211627
504,Aitape,-3.1374,142.3475,85.41,66,100,4.85,PG,1651211628
505,Pitsunda,43.1592,40.3378,53.78,85,100,4.65,GE,1651211628
506,Pemangkat,1.1667,108.9667,87.64,68,65,12.17,ID,1651211629
507,Wanlaweyn,2.6185,44.8938,86.04,60,97,10.22,SO,1651211629
508,Mikhaylovka,50.06,43.2379,56.7,46,12,7.67,RU,1651211630
509,Satinka,52.3792,41.6819,44.71,59,90,8.32,RU,1651211631
510,Piaçabuçu,-10.4056,-36.4344,75.02,85,96,3.47,BR,1651211632
511,Freeport,40.6576,-73.5832,46.02,35,0,5.99,US,1651211632
512,Kushima,31.4583,131.2333,71.42,77,100,14.97,JP,1651211633
513,Ransang,8.9603,117.5828,86.13,69,100,0.67,PH,1651211633
514,Talcahuano,-36.7167,-73.1167,40.68,93,0,9.22,CL,1651211634
515,Knysna,-34.0363,23.0471,60.98,77,50,9.33,ZA,1651211635
516,Sisimiut,66.9395,-53.6735,24.87,96,100,5.73,GL,1651211636
517,Atlantis,-33.5667,18.4834,55.69,87,93,3.58,ZA,1651211636
518,Otjimbingwe,-22.35,16.1333,72.81,45,51,5.79,NA,1651211637
519,Blagoyevo,63.3667,47.9167,34.02,62,78,11.25,RU,1651211637
520,Mehrān,33.1222,46.1646,78.8,39,100,6.8,IR,1651211638
521,Ruteng,-8.6136,120.4721,75.81,59,76,1.54,ID,1651211639
522,Praia,14.9215,-23.5087,68.54,77,20,14.97,CV,1651211639
523,Banjar,-8.19,114.9675,83.93,84,80,5.08,ID,1651211640
524,Yuzhno-Sukhokumsk,44.6581,45.6436,69.6,49,100,10.02,RU,1651211641
525,Burns Lake,54.2331,-125.7533,27.82,95,100,1.16,CA,1651211642
526,Dabou,5.3256,-4.3769,75.2,82,58,2.8,CI,1651211642
527,Boende,-0.2167,20.8667,73.42,91,90,0.31,CD,1651211643
528,Sicamous,50.8331,-118.9856,49.17,74,18,4.76,CA,1651211644
529,Bafatá,12.1667,-14.75,73.65,61,85,3.38,GW,1651211644
530,Dorobanţu,44.2167,26.95,58.03,81,97,3.24,RO,1651211645
531,Suntar,62.1444,117.6319,45.75,50,71,4.79,RU,1651211646
532,Xichang,27.8964,102.2634,82.15,33,5,4.29,CN,1651211647
533,Enumclaw,47.2043,-121.9915,47.39,86,100,3.0,US,1651211473
534,Tual,-5.6667,132.75,85.5,66,100,11.9,ID,1651211647
535,Shirokiy,49.758,129.523,56.25,28,63,9.53,RU,1651211648
536,Padang,-0.9492,100.3543,87.85,65,89,6.04,ID,1651211649
537,Kaeo,-35.1,173.7833,60.33,93,50,10.33,NZ,1651211650
538,Omboué,-1.5746,9.2618,76.37,92,79,4.34,GA,1651211651
539,Slave Lake,55.2834,-114.769,35.58,93,100,6.91,CA,1651211652
540,Auce,56.4598,22.9017,42.15,61,52,5.01,LV,1651211653
541,Senno,59.5336,33.9167,35.26,61,100,8.66,RU,1651211654
542,Dingle,10.9995,122.6711,87.13,66,100,10.36,PH,1651211655
543,Mwinilunga,-11.7358,24.4293,60.57,83,19,8.19,ZM,1651211656
544,Te Anau,-45.4167,167.7167,53.85,81,100,2.55,NZ,1651211657
545,Port-Gentil,-0.7193,8.7815,78.76,94,75,4.61,GA,1651211658
546,Arlit,18.7369,7.3853,78.64,9,91,7.72,NE,1651211658
547,Ossora,59.2353,163.0719,33.87,90,95,5.28,RU,1651211659
548,Swan Hill,-35.3378,143.5544,74.41,47,100,8.68,AU,1651211660
549,Santa Maria,-29.6842,-53.8069,55.47,96,29,4.27,BR,1651211660
550,Sobral,-3.6861,-40.3497,71.4,97,47,1.23,BR,1651211661
551,Verāval,20.9,70.3667,92.41,46,0,11.01,IN,1651211662
552,Zhuanghe,39.7008,122.9911,60.13,36,5,14.99,CN,1651211662
553,Lumberton,34.6182,-79.0086,53.46,58,12,4.45,US,1651211663
554,Minas de Barroterán,27.6333,-101.2833,74.28,71,32,12.08,MX,1651211664
556,Meadow Lake,34.8014,-106.5436,64.8,14,4,4.41,US,1651211665
557,Aranos,-24.1333,19.1167,66.2,49,43,9.86,NA,1651211665
558,Wanaka,-44.7,169.15,60.12,64,91,3.0,NZ,1651211666
559,Bahía Blanca,-38.7196,-62.2724,42.15,47,17,5.97,AR,1651211667
560,Raton,36.9034,-104.4391,50.05,35,29,5.5,US,1651211667
561,Margate,51.3813,1.3862,47.3,77,100,5.99,GB,1651211668
562,Buckeye,33.3703,-112.5838,78.03,24,0,8.68,US,1651211660
563,Chernenko,44.365,39.3103,61.16,78,100,2.91,RU,1651211669
564,Vao,-22.6667,167.4833,72.37,77,100,27.18,NC,1651211670
565,Omsukchan,62.5333,155.8,27.28,91,100,11.7,RU,1651211670
566,Vestmanna,62.1564,-7.1664,41.92,87,100,2.3,FO,1651211671
567,Ancud,-41.8697,-73.8203,41.67,88,36,4.99,CL,1651211671
568,La Santisima Trinidad,-14.8333,-64.9,74.91,83,81,3.62,BO,1651211672
569,Mel'nikovo,56.5558,84.085,77.25,40,100,13.71,RU,1651211673
570,Novikovo,51.1537,37.8879,50.86,63,3,9.26,RU,1651211673
571,Oodweyne,9.4092,45.064,78.58,53,61,13.15,SO,1651211674
572,Shīeli,44.1667,66.75,83.32,16,95,11.16,KZ,1651211675
573,Sol'-Iletsk,51.1631,54.9918,58.87,60,30,12.08,RU,1651211675
574,Pyn U Lwin,22.0333,96.4667,93.74,27,1,10.16,MM,1651211676
575,Ayagoz,47.9714,80.4392,67.69,18,11,9.66,KZ,1651211677
576,Alingsås,57.9303,12.5335,44.6,54,14,1.7,SE,1651211677
